session_id,session_date,session_time,analysis_type,frame,timestamp,type,severity,location
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,1,0.0s,Person Missing Mask,Low,"(1087, 419)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,1,0.0s,Person Missing Mask,Low,"(1578, 365)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,1,0.0s,Person Missing Hard Hat,High,"(1578, 365)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,1,0.0s,Person Missing Mask,Low,"(1489, 353)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,2,0.1s,Person Missing Mask,Low,"(1086, 419)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,2,0.1s,Person Missing Mask,Low,"(1580, 363)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,2,0.1s,Person Missing Hard Hat,High,"(1580, 363)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,2,0.1s,Person Missing Mask,Low,"(1490, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,2,0.1s,Person Missing Hard Hat,High,"(1490, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Mask,Low,"(1085, 419)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Mask,Low,"(1576, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Hard Hat,High,"(1576, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Mask,Low,"(1492, 350)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Hard Hat,High,"(1492, 350)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,3,0.1s,Person Missing Mask,Low,"(1090, 417)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,4,0.2s,Person Missing Mask,Low,"(1084, 418)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,4,0.2s,Person Missing Mask,Low,"(1573, 359)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,4,0.2s,Person Missing Hard Hat,High,"(1573, 359)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,4,0.2s,Person Missing Mask,Low,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,4,0.2s,Person Missing Hard Hat,High,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,5,0.2s,Person Missing Mask,Low,"(1084, 419)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,5,0.2s,Person Missing Mask,Low,"(1573, 363)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,5,0.2s,Person Missing Hard Hat,High,"(1573, 363)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,5,0.2s,Person Missing Mask,Low,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,5,0.2s,Person Missing Hard Hat,High,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,6,0.2s,Person Missing Mask,Low,"(1082, 422)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,6,0.2s,Person Missing Mask,Low,"(1573, 357)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,6,0.2s,Person Missing Hard Hat,High,"(1573, 357)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,6,0.2s,Person Missing Mask,Low,"(1492, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,6,0.2s,Person Missing Hard Hat,High,"(1492, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Mask,Low,"(1080, 425)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Hard Hat,High,"(1080, 425)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Mask,Low,"(1570, 341)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Hard Hat,High,"(1570, 341)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Mask,Low,"(1492, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,7,0.3s,Person Missing Hard Hat,High,"(1492, 352)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Mask,Low,"(1079, 429)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Hard Hat,High,"(1079, 429)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Mask,Low,"(1572, 341)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Hard Hat,High,"(1572, 341)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Mask,Low,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,8,0.3s,Person Missing Hard Hat,High,"(1492, 351)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Mask,Low,"(1079, 428)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Hard Hat,High,"(1079, 428)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Mask,Low,"(1573, 347)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Hard Hat,High,"(1573, 347)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Mask,Low,"(1490, 350)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,9,0.4s,Person Missing Hard Hat,High,"(1490, 350)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Mask,Low,"(1078, 426)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Hard Hat,High,"(1078, 426)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Mask,Low,"(1489, 349)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Hard Hat,High,"(1489, 349)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Mask,Low,"(1569, 344)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Hard Hat,High,"(1569, 344)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Mask,Low,"(1083, 428)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,10,0.4s,Person Missing Hard Hat,High,"(1083, 428)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Mask,Low,"(1485, 345)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Hard Hat,High,"(1485, 345)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Mask,Low,"(1574, 331)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Hard Hat,High,"(1574, 331)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Mask,Low,"(1074, 422)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Hard Hat,High,"(1074, 422)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Mask,Low,"(1076, 425)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,11,0.4s,Person Missing Hard Hat,High,"(1076, 425)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,12,0.5s,Person Missing Mask,Low,"(1484, 344)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,12,0.5s,Person Missing Hard Hat,High,"(1484, 344)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,12,0.5s,Person Missing Mask,Low,"(1575, 337)"
20251006_190120,2025-10-06,19:01:20,Full Video Analysis,12,0.5s,Person Missing Hard Hat,High,"(1575, 337)"
